Country,DevType,YearsCodePro,Salary,Count
Germany,Data or business analyst,2-5,79363.3829787234,47
Germany,Data or business analyst,20+,148615.61111111112,18
Germany,Data or business analyst,5-7,120369.80952380953,21
Germany,Data or business analyst,7-10,111375.57692307692,26
Germany,Data scientist & ML,0-2,79275.04166666667,24
Germany,Data scientist & ML,10-15,150551.25,12
Germany,Data scientist & ML,15-20,93493.71428571429,7
Germany,Data scientist & ML,2-5,85405.75,48
Germany,Data scientist & ML,20+,266337.4705882353,17
Germany,Data scientist & ML,5-7,56579.07142857143,14
Germany,Data scientist & ML,7-10,124623.28,25
Germany,Database administrator,0-2,39967.03125,32
Germany,Database administrator,10-15,155235.89361702127,47
Germany,Database administrator,15-20,174885.5,26
Germany,Database administrator,2-5,95664.43689320388,103
Germany,Database administrator,20+,149766.1875,16
Germany,Database administrator,5-7,84758.62162162163,37
Germany,Database administrator,7-10,122513.87272727273,55
Germany,DevOps specialist,0-2,192392.8,5
Germany,DevOps specialist,10-15,87650.0,2
Germany,DevOps specialist,15-20,98534.5,2
Germany,DevOps specialist,2-5,187583.42857142858,7
Germany,DevOps specialist,5-7,83639.66666666667,3
Germany,DevOps specialist,7-10,86504.0,4
Germany,"Developer, back-end",0-2,55671.705882352944,187
Germany,"Developer, back-end",10-15,145367.38547486035,179
Germany,"Developer, back-end",15-20,159330.31683168316,101
Germany,"Developer, back-end",2-5,106868.28333333334,360
Germany,"Developer, back-end",20+,171597.33333333334,66
Germany,"Developer, back-end",5-7,114193.04395604396,182
Germany,"Developer, back-end",7-10,134742.618852459,244
Germany,"Developer, front-end",0-2,70638.29787234042,47
Germany,"Developer, front-end",10-15,145844.1739130435,23
Germany,"Developer, front-end",15-20,104135.11111111111,9
Germany,"Developer, front-end",2-5,129196.66101694915,59
Germany,"Developer, front-end",20+,75046.5,2
Germany,"Developer, front-end",5-7,112417.96875,32
Germany,"Developer, front-end",7-10,102832.44827586207,29
Germany,"Developer, full-stack",0-2,100455.38271604938,81
Germany,"Developer, full-stack",10-15,121657.91803278688,61
Germany,"Developer, full-stack",15-20,122185.47619047618,42
Germany,"Developer, full-stack",2-5,67205.02777777778,144
Germany,"Developer, full-stack",20+,143926.29411764705,17
Germany,"Developer, full-stack",5-7,108635.27659574468,47
Germany,"Developer, full-stack",7-10,107766.89873417722,79
Greece,Academic researcher,0-2,18788.285714285714,7
Greece,Academic researcher,10-15,51393.57142857143,7
Greece,Academic researcher,15-20,65080.0,3
Greece,Academic researcher,2-5,20656.18181818182,11
Greece,Academic researcher,20+,3450.0,1
Greece,Academic researcher,5-7,17521.5,6
Greece,Academic researcher,7-10,866184.0,1
Greece,Data or business analyst,0-2,21083.5,6
Greece,Data or business analyst,10-15,17602.5,2
Greece,Data or business analyst,15-20,26124.0,1
Greece,Data or business analyst,2-5,104214.28571428571,7
Greece,Data or business analyst,20+,91660.0,1
Greece,Data or business analyst,5-7,32463.0,3
Greece,Data or business analyst,7-10,9624.0,1
Greece,Data scientist & ML,0-2,19242.25,4
Greece,Data scientist & ML,10-15,91660.0,2
Greece,Data scientist & ML,15-20,100000.0,1
Greece,Data scientist & ML,2-5,15182.25,4
Greece,Data scientist & ML,7-10,68748.0,1
Greece,Database administrator,0-2,13415.142857142857,7
Greece,Database administrator,10-15,46594.666666666664,3
Greece,Database administrator,15-20,20628.0,1
Greece,Database administrator,2-5,50440.625,8
Greece,Database administrator,20+,24344.0,2
Greece,Database administrator,5-7,19295.0,4
Greece,Database administrator,7-10,102931.625,8
Greece,DevOps specialist,0-2,10104.0,1
Greece,"Developer, back-end",0-2,14414.291666666666,24
Greece,"Developer, back-end",10-15,105866.91666666667,12
Greece,"Developer, back-end",15-20,99633.6,10
Greece,"Developer, back-end",2-5,32811.181818181816,33
Greece,"Developer, back-end",20+,30398.666666666668,6
Greece,"Developer, back-end",5-7,29078.5,10
Greece,"Developer, back-end",7-10,38918.5,4
Greece,"Developer, front-end",0-2,15886.666666666666,3
Greece,"Developer, front-end",10-15,26352.0,1
Greece,"Developer, front-end",2-5,87021.5,4
Greece,"Developer, front-end",5-7,22458.0,2
Greece,"Developer, front-end",7-10,20000.0,1
Greece,"Developer, full-stack",0-2,13406.625,8
Greece,"Developer, full-stack",10-15,35460.25,4
Greece,"Developer, full-stack",15-20,44684.0,3
Greece,"Developer, full-stack",2-5,63102.692307692305,13
Greece,"Developer, full-stack",5-7,28861.833333333332,6
Greece,"Developer, full-stack",7-10,51581.0,4
India,Academic researcher,0-2,20056.322580645163,62
India,Academic researcher,10-15,79891.0,6
India,Academic researcher,15-20,20472.0,4
India,Academic researcher,2-5,45666.78082191781,73
India,Academic researcher,20+,63424.0,4
India,Academic researcher,5-7,86114.8,25
India,Academic researcher,7-10,17359.5,12
India,Data or business analyst,0-2,18945.780821917808,73
India,Data or business analyst,10-15,78176.81818181818,11
India,Data or business analyst,15-20,23396.5,2
India,Data or business analyst,2-5,17431.205479452055,73
India,Data or business analyst,20+,269186.3333333333,6
India,Data or business analyst,5-7,26486.956521739132,23
India,Data or business analyst,7-10,46907.75675675676,37
India,Data scientist & ML,0-2,21969.872727272726,55
India,Data scientist & ML,10-15,115647.41666666667,12
India,Data scientist & ML,15-20,43004.666666666664,3
India,Data scientist & ML,2-5,22310.983606557376,61
India,Data scientist & ML,20+,37982.0,2
India,Data scientist & ML,5-7,116893.0,14
India,Data scientist & ML,7-10,41979.57142857143,14
India,Database administrator,0-2,10059.620689655172,58
India,Database administrator,10-15,23610.333333333332,6
India,Database administrator,15-20,12861.0,4
India,Database administrator,2-5,18919.860215053763,93
India,Database administrator,20+,11316.5,6
India,Database administrator,5-7,56072.666666666664,24
India,Database administrator,7-10,27445.277777777777,18
India,DevOps specialist,0-2,20912.416666666668,12
